path	size	sha256	status	source_class	evidence	notes
research/n1-memory-lab/ARCHITECTURE_CASES_V0.md	4257	d4db8b9b3964f9721c162dfa0fddc8d56f3ed03c3e7f3076f0dde11ff46f0de0	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/ARCHITECTURE_COMPARISON.md	4872	7eb0d86109c96ec338baecb168850ca110908e375d66fd9bf889075956f67e52	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/ARCHITECTURE_EXPERIMENT_MATRIX_V1.md	11956	540789dfab9c10baeb0e6fe7ef1ea2b296331c5b6de7d95f00fe5fe8783a3f1d	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/ASK_DEMAND_TAXONOMY_NE13_20260418.md	9301	4a6fe1ffe4b1d81f5e4c60acd9b8adc8f4a00ec94f47710c5482f91a20e7fd63	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/ASK_PRESSURE_MATRIX_NE13_15D_20260419.md	1908	a98b55f62debde7cd567f3051937fcedfab4cb2d626f2974aff65b8791ece2f9	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/ASK_PRESSURE_MATRIX_NE13_15D_20260419.tsv	2157	25cba83eb64ffa180bdafdffef9f47ad1c94aaede7463a5fbc31ff6d8a8463c0	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/ASK_SURFACE_AND_FRAGMENTATION_NOTES_20260419.md	3399	78961939d1eebf0a6123197242b7e72bdb696802acc91ceea22d486719119dd2	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/CALIBRATION_STACK_20260420.md	7263	1e05ba087f10f36d8724e248fe3657ecb13cfd40fb79b79a340de904070a3994	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/CORPUS_BASELINE.md	5113	d4329c80dbdd96e70fc187aa5b585569741362ee8aef0f07db5d0c5ff5afb9ae	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
research/n1-memory-lab/COUNCIL_FORMALISM_20260420.md	5603	eb15081722c964a3813658436d5dd4b063862c5eab6cb4bee5fbf45ca16fbcdf	exact	git_history_and_final_manifest	git_tree	exact at last git commit at or before state reference time
